X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(3),Phase: PR1: V(3)
1,0.000199805,89.91986404
1.258925412,0.00025154,89.89911483
1.584893192,0.000316669,89.87299314
1.995262315,0.000398663,89.84010795
2.511886432,0.000501886,89.79870804
3.16227766,0.000631835,89.74658886
3.981071706,0.000795429,89.68097513
5.011872336,0.001001379,89.59837316
6.309573445,0.001260647,89.49438513
7.943282347,0.001587032,89.3634753
10,0.001997897,89.19867626
12.58925412,0.002515089,88.99121987
15.84893192,0.003166081,88.7300743
19.95262315,0.003985405,88.40136449
25.11886432,0.005016419,87.987649
31.6227766,0.006313485,87.46702269
39.81071706,0.007944595,86.81201276
50.11872336,0.00999446,85.98824007
63.09573445,0.012567967,84.95283464
79.43282347,0.015793699,83.65263875
100,0.019826739,82.02232889
125.8925412,0.02484915,79.98278577
158.4893192,0.031064985,77.4404095
199.5262315,0.038684333,74.28869824
251.1886432,0.047888081,70.41429216
316.227766,0.058763852,65.71052299
398.1071706,0.071209991,60.10117647
501.1872336,0.084827571,53.57336471
630.9573445,0.098861278,46.20906682
794.3282347,0.112275018,38.19367746
1000,0.123990104,29.78093977
1258.925412,0.133171849,21.21914052
1584.893192,0.139374908,12.67657204
1995.262315,0.142471993,4.208226175
2511.886432,0.142469147,-4.223751638
3162.27766,0.139366341,-12.69222044
3981.071706,0.133157614,-21.23490944
5011.872336,0.123970679,-29.79662201
6309.573445,0.112251591,-38.20887121
7943.282347,0.098835686,-46.22328448
10000,0.08480185,-53.58618427
12589.25412,0.071185841,-60.11234891
15848.93192,0.05874233,-65.71999263
19952.62315,0.047869617,-70.42215199
25118.86432,0.038668907,-74.29512549
31622.7766,0.031052323,-77.4456122
39810.71706,0.024838879,-79.98696895
50118.72336,0.01981847,-82.02567762
63095.73445,0.015787075,-83.65531191
79432.82347,0.012562677,-84.95496467
100000,0.009990244,-85.98993537
125892.5412,0.007941239,-86.81336107
158489.3192,0.006310815,-87.46809454
199526.2315,0.005014296,-87.98850083
251188.6432,0.003983718,-88.40204134
316227.766,0.003164741,-88.73061205
398107.1706,0.002514024,-88.99164706
501187.2336,0.001997051,-89.19901562
630957.3445,0.00158636,-89.36374488
794328.2347,0.001260113,-89.49459927
1000000,0.001000955,-89.59854326
1258925.412,0.000795092,-89.68111024
1584893.192,0.000631567,-89.74669619
1995262.315,0.000501673,-89.7987933
2511886.432,0.000398494,-89.84017567
3162277.66,0.000316535,-89.87304694
3981071.706,0.000251433,-89.89915755
5011872.336,0.000199721,-89.91989798
6309573.445,0.000158644,-89.93637269
7943282.347,0.000126015,-89.94945903
10000000,0.000100097,-89.95985388
12589254.12,7.95102E-05,-89.9681108
15848931.92,6.31572E-05,-89.97466951
19952623.15,5.01676E-05,-89.97987927
25118864.32,3.98495E-05,-89.98401754
31622776.6,3.16536E-05,-89.98730468
39810717.06,2.51433E-05,-89.98991575
50118723.36,1.99721E-05,-89.99198979
63095734.45,1.58644E-05,-89.99363727
79432823.47,1.26015E-05,-89.9949459
100000000,1.00097E-05,-89.99598539
125892541.2,7.95102E-06,-89.99681108
158489319.2,6.31572E-06,-89.99746695
199526231.5,5.01676E-06,-89.99798793
