X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(1)-V(0),Phase: PR1: V(1)-V(0)
1,0.99999921,-0.072000034
1.258925412,0.999998749,-0.090642698
1.584893192,0.999998017,-0.114112446
1.995262315,0.999996857,-0.143659158
2.511886432,0.999995018,-0.180856364
3.16227766,0.999992104,-0.22768507
3.981071706,0.999987486,-0.286639314
5.011872336,0.999980166,-0.360859101
6.309573445,0.999968566,-0.454297853
7.943282347,0.999950179,-0.571933419
10,0.999921037,-0.720034099
12.58925412,0.999874846,-0.906494333
15.84893192,0.999801629,-1.141258847
19.95262315,0.999685565,-1.436859713
25.11886432,0.99950156,-1.809098619
31.6227766,0.999209788,-2.277918064
39.81071706,0.998747001,-2.868522603
50.11872336,0.998012633,-3.612839159
63.09573445,0.996846474,-4.551452528
79.43282347,0.994992559,-5.736235079
100,0.992040064,-7.234040347
125.8925412,0.987325016,-9.13210988
158.4893192,0.979763051,-11.54636491
199.5262315,0.967556261,-14.63471612
251.1886432,0.947661463,-18.61920176
316.227766,0.914796069,-23.82321732
398.1071706,0.85957294,-30.73133364
501.1872336,0.765298797,-40.06641834
630.9573445,0.604640846,-52.79699816
794.3282347,0.346779579,-69.70953422
1000,9.29631E-06,-89.9993893
1258.925412,0.346763828,69.71049635
1584.893192,0.604630437,52.79774693
1995.262315,0.765292608,40.06696927
2511.886432,0.85956933,30.73173839
3162.27766,0.914793938,23.8235196
3981.071706,0.947660182,18.61943156
5011.872336,0.96755548,14.63489332
6309.573445,0.979762569,11.54650294
7943.282347,0.987324716,9.132218144
10000,0.992039876,7.234125651
12589.25412,0.994992441,5.73630249
15848.93192,0.9968464,4.551505899
19952.62315,0.998012586,3.612881465
25118.86432,0.998746972,2.868556164
31622.7766,0.999209769,2.277944701
39810.71706,0.999501548,1.809119766
50118.72336,0.999685558,1.436876505
63095.73445,0.999801624,1.141272182
79432.82347,0.999874843,0.906504924
100000,0.999921035,0.720042512
125892.5412,0.999950178,0.571940101
158489.3192,0.999968565,0.454303161
199526.2315,0.999980166,0.360863317
251188.6432,0.999987486,0.286642663
316227.766,0.999992104,0.22768773
398107.1706,0.999995018,0.180858476
501187.2336,0.999996857,0.143660836
630957.3445,0.999998017,0.114113779
794328.2347,0.999998749,0.090643757
1000000,0.99999921,0.072000875
1258925.412,0.999999502,0.057192318
1584893.192,0.999999686,0.045429468
1995262.315,0.999999802,0.036085907
2511886.432,0.999999875,0.028664053
3162277.66,0.999999921,0.022768666
3981071.706,0.99999995,0.018085794
5011872.336,0.999999969,0.014366057
6309573.445,0.99999998,0.011411364
7943282.347,0.999999987,0.009064369
10000000,0.999999992,0.007200084
12589254.12,0.999999995,0.00571923
15848931.92,0.999999997,0.004542946
19952623.15,0.999999998,0.00360859
25118864.32,0.999999999,0.002866405
31622776.6,0.999999999,0.002276867
39810717.06,0.999999999,0.001808579
50118723.36,1,0.001436606
63095734.45,1,0.001141136
79432823.47,1,0.000906437
100000000,1,0.000720008
125892541.2,1,0.000571923
158489319.2,1,0.000454295
199526231.5,1,0.000360859
251188643.2,1,0.000286641
316227766,1,0.000227687
398107170.6,1,0.000180858
501187233.6,1,0.000143661
630957344.5,1,0.000114114
794328234.7,1,9.06437E-05
1000000000,1,7.20008E-05
1258925412,1,5.71923E-05
1584893192,1,4.54295E-05
1995262315,1,3.60859E-05
2511886432,1,2.86641E-05
3162277660,1,2.27687E-05
3981071706,1,1.80858E-05
5011872336,1,1.43661E-05
6309573445,1,1.14114E-05
7943282347,1,9.06437E-06
10000000000,1,7.20008E-06
