X--Trace 1::[transient: TIME],Y--Trace 1::[PR2: V(2)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR1: V(3)]
0,0,,0,0
3.13E-07,-5.11E-08,,3.13E-07,0.001963494
3.39E-07,-5.66E-08,,3.39E-07,0.002128431
3.91E-07,-6.86E-08,,3.91E-07,0.002458304
4.96E-07,-9.78E-08,,4.96E-07,0.003118049
7.06E-07,-1.77E-07,,7.06E-07,0.004437535
1.12627E-06,-4.18E-07,,1.12627E-06,0.007076481
1.96628E-06,-1.23338E-06,,1.96628E-06,0.012354207
3.64632E-06,-4.1933E-06,,3.64632E-06,0.02290848
7.00638E-06,-1.54287E-05,,7.00638E-06,0.044008192
1.37265E-05,-5.9127E-05,,1.37265E-05,0.086139378
2.71668E-05,-0.000230957,,2.71668E-05,0.169866269
5.40473E-05,-0.0009054,,5.40473E-05,0.33309994
8.52973E-05,-0.00221884,,8.52973E-05,0.51064853
0.000116547,-0.004051542,,0.000116547,0.668573183
0.000147797,-0.00633119,,0.000147797,0.800804943
0.000179047,-0.008968298,,0.000179047,0.902262219
0.000210297,-0.011859649,,0.000210297,0.969046063
0.000241547,-0.014892262,,0.000241547,0.998590011
0.000272797,-0.017947731,,0.000272797,0.989758704
0.000304047,-0.020906781,,0.000304047,0.942891526
0.000335297,-0.023653844,,0.000335297,0.859789555
0.000366547,-0.026081509,,0.000366547,0.743646354
0.000397797,-0.028094641,,0.000397797,0.59892524
0.000429047,-0.029614042,,0.000429047,0.431187765
0.000460297,-0.030579496,,0.000460297,0.246879986
0.000491547,-0.030952077,,0.000491547,0.053084748
0.000522797,-0.030715651,,0.000522797,-0.142750507
0.000554047,-0.029877492,,0.000554047,-0.33309994
0.000585297,-0.028468005,,0.000585297,-0.51064853
0.000616547,-0.026539555,,0.000616547,-0.668573183
0.000647797,-0.024164459,,0.000647797,-0.800804943
0.000679047,-0.0214322,,0.000679047,-0.902262219
0.000710297,-0.018445995,,0.000710297,-0.969046063
0.000741547,-0.015318825,,0.000741547,-0.998590011
0.000772797,-0.012169092,,0.000772797,-0.989758704
0.000804047,-0.009116074,,0.000804047,-0.942891526
0.000835297,-0.006275335,,0.000835297,-0.859789555
0.000866547,-0.003754287,,0.000866547,-0.743646354
0.000897797,-0.001648064,,0.000897797,-0.59892524
0.000929047,-3.58606E-05,,0.000929047,-0.431187765
0.000960297,0.001022105,,0.000960297,-0.246879986
0.000991547,0.001486909,,0.000991547,-0.053084748
0.001022797,0.001342418,,0.001022797,0.142750507
0.001054047,0.000595908,,0.001054047,0.33309994
0.001085297,-0.000722216,,0.001085297,0.51064853
0.001116547,-0.002559588,,0.001116547,0.668573183
0.001147797,-0.004843891,,0.001147797,0.800804943
0.001179047,-0.00748564,,0.001179047,0.902262219
0.001210297,-0.010381617,,0.001210297,0.969046063
0.001241547,-0.013418841,,0.001241547,0.998590011
0.001272797,-0.016478908,,0.001272797,0.989758704
0.001304047,-0.019442541,,0.001304047,0.942891526
0.001335297,-0.022194173,,0.001335297,0.859789555
0.001366547,-0.024626392,,0.001366547,0.743646354
0.001397797,-0.026644064,,0.001397797,0.59892524
0.001429047,-0.028167991,,0.001429047,0.431187765
0.001460297,-0.029137957,,0.001460297,0.246879986
0.001491547,-0.029515036,,0.001491547,0.053084748
0.001522797,-0.029283093,,0.001522797,-0.142750507
0.001554047,-0.028449404,,0.001554047,-0.33309994
0.001585297,-0.027044373,,0.001585297,-0.51064853
0.001616547,-0.025120366,,0.001616547,-0.668573183
0.001647797,-0.022749697,,0.001647797,-0.800804943
0.001679047,-0.020021853,,0.001679047,-0.902262219
0.001710297,-0.017040048,,0.001710297,-0.969046063
0.001741547,-0.013917264,,0.001741547,-0.998590011
0.001772797,-0.010771905,,0.001772797,-0.989758704
0.001804047,-0.007723246,,0.001804047,-0.942891526
0.001835297,-0.004886853,,0.001835297,-0.859789555
0.001866547,-0.002370138,,0.001866547,-0.743646354
0.001897797,-0.000268233,,0.001897797,-0.59892524
0.001929047,0.001339665,,0.001929047,-0.431187765
0.001960297,0.002393339,,0.001960297,-0.246879986
0.001991547,0.002853864,,0.001991547,-0.053084748
0.002022797,0.002705109,,0.002022797,0.142750507
0.002054047,0.001954347,,0.002054047,0.33309994
0.002085297,0.000631984,,0.002085297,0.51064853
0.002116547,-0.001209613,,0.002116547,0.668573183
0.002147797,-0.003498129,,0.002147797,0.800804943
0.002179047,-0.006144076,,0.002179047,0.902262219
0.002210297,-0.009044239,,0.002210297,0.969046063
0.002241547,-0.012085636,,0.002241547,0.998590011
0.002272797,-0.015149863,,0.002272797,0.989758704
0.002304047,-0.018117642,,0.002304047,0.942891526
0.002335297,-0.020873409,,0.002335297,0.859789555
0.002366547,-0.023309748,,0.002366547,0.743646354
0.002397797,-0.025331528,,0.002397797,0.59892524
0.002429047,-0.026859551,,0.002429047,0.431187765
0.002460297,-0.027833599,,0.002460297,0.246879986
0.002491547,-0.028214748,,0.002491547,0.053084748
0.002522797,-0.027986863,,0.002522797,-0.142750507
0.002554047,-0.027157218,,0.002554047,-0.33309994
0.002585297,-0.025756218,,0.002585297,-0.51064853
0.002616547,-0.02383623,,0.002616547,-0.668573183
0.002647797,-0.021469568,,0.002647797,-0.800804943
0.002679047,-0.018745718,,0.002679047,-0.902262219
0.002710297,-0.015767895,,0.002710297,-0.969046063
0.002741547,-0.012649081,,0.002741547,-0.998590011
0.002772797,-0.009507679,,0.002772797,-0.989758704
0.002804047,-0.006462964,,0.002804047,-0.942891526
0.002835297,-0.003630503,,0.002835297,-0.859789555
0.002866547,-0.001117708,,0.002866547,-0.743646354
0.002897797,0.000980289,,0.002897797,-0.59892524
0.002929047,0.002584291,,0.002929047,-0.431187765
0.002960297,0.003634082,,0.002960297,-0.246879986
0.002991547,0.004090736,,0.002991547,-0.053084748
0.003022797,0.003938121,,0.003022797,0.142750507
0.003054047,0.003183512,,0.003054047,0.33309994
0.003085297,0.001857314,,0.003085297,0.51064853
0.003116547,1.18935E-05,,0.003116547,0.668573183
0.003147797,-0.002280433,,0.003147797,0.800804943
0.003179047,-0.00493018,,0.003179047,0.902262219
0.003210297,-0.007834131,,0.003210297,0.969046063
0.003241547,-0.010879303,,0.003241547,0.998590011
0.003272797,-0.013947294,,0.003272797,0.989758704
0.003304047,-0.016918825,,0.003304047,0.942891526
0.003335297,-0.019678332,,0.003335297,0.859789555
0.003366547,-0.022118401,,0.003366547,0.743646354
0.003397797,-0.024143898,,0.003397797,0.59892524
0.003429047,-0.025675626,,0.003429047,0.431187765
0.003460297,-0.026653368,,0.003460297,0.246879986
0.003491547,-0.027038199,,0.003491547,0.053084748
0.003522797,-0.026813985,,0.003522797,-0.142750507
0.003554047,-0.025988,,0.003554047,-0.33309994
0.003585297,-0.024590649,,0.003585297,-0.51064853
0.003616547,-0.022674297,,0.003616547,-0.668573183
0.003647797,-0.020311261,,0.003647797,-0.800804943
0.003679047,-0.017591024,,0.003679047,-0.902262219
0.003710297,-0.014616805,,0.003710297,-0.969046063
0.003741547,-0.011501582,,0.003741547,-0.998590011
0.003772797,-0.00836376,,0.003772797,-0.989758704
0.003804047,-0.005322615,,0.003804047,-0.942891526
0.003835297,-0.002493712,,0.003835297,-0.859789555
0.003866547,1.55368E-05,,0.003866547,-0.743646354
0.003897797,0.002109998,,0.003897797,-0.59892524
0.003929047,0.003710475,,0.003929047,-0.431187765
0.003960297,0.004756752,,0.003960297,-0.246879986
0.003991547,0.005209903,,0.003991547,-0.053084748
0.004022797,0.005053796,,0.004022797,0.142750507
0.004054047,0.004295706,,0.004054047,0.33309994
0.004085297,0.002966038,,0.004085297,0.51064853
0.004116547,0.001117158,,0.004116547,0.668573183
0.004147797,-0.001178617,,0.004147797,0.800804943
0.004179047,-0.003831802,,0.004179047,0.902262219
0.004210297,-0.00673918,,0.004210297,0.969046063
0.004241547,-0.009787769,,0.004241547,0.998590011
0.004272797,-0.012859165,,0.004272797,0.989758704
0.004304047,-0.015834091,,0.004304047,0.942891526
0.004335297,-0.018596983,,0.004335297,0.859789555
0.004366547,-0.021040425,,0.004366547,0.743646354
0.004397797,-0.023069286,,0.004397797,0.59892524
0.004429047,-0.024604367,,0.004429047,0.431187765
0.004460297,-0.025585452,,0.004460297,0.246879986
0.004491547,-0.025973615,,0.004491547,0.053084748
0.004522797,-0.025752722,,0.004522797,-0.142750507
0.004554047,-0.024930048,,0.004554047,-0.33309994
0.004585297,-0.023535998,,0.004585297,-0.51064853
0.004616547,-0.021622937,,0.004616547,-0.668573183
0.004647797,-0.019263181,,0.004647797,-0.800804943
0.004679047,-0.016546215,,0.004679047,-0.902262219
0.004710297,-0.013575255,,0.004710297,-0.969046063
0.004741547,-0.010463282,,0.004741547,-0.998590011
0.004772797,-0.0073287,,0.004772797,-0.989758704
0.004804047,-0.004290784,,0.004804047,-0.942891526
0.004835297,-0.001465101,,0.004835297,-0.859789555
0.004866547,0.001040938,,0.004866547,-0.743646354
0.004897797,0.0031322,,0.004897797,-0.59892524
0.004929047,0.004729488,,0.004929047,-0.431187765
0.004960297,0.005772585,,0.004960297,-0.246879986
0.004991547,0.006222567,,0.004991547,-0.053084748
0.005022797,0.0060633,,0.005022797,0.142750507
0.005054047,0.00530206,,0.005054047,0.33309994
0.005085297,0.003969252,,0.005085297,0.51064853
0.005116547,0.002117242,,0.005116547,0.668573183
0.005147797,-0.000181653,,0.005147797,0.800804943
0.005179047,-0.002837949,,0.005179047,0.902262219
0.005210297,-0.005748427,,0.005210297,0.969046063
0.005241547,-0.008800108,,0.005241547,0.998590011
0.005272797,-0.011874586,,0.005272797,0.989758704
0.005304047,-0.014852584,,0.005304047,0.942891526
0.005335297,-0.017618538,,0.005335297,0.859789555
0.005366547,-0.020065033,,0.005366547,0.743646354
0.005397797,-0.022096937,,0.005397797,0.59892524
0.005429047,-0.023635053,,0.005429047,0.431187765
0.005460297,-0.024619162,,0.005460297,0.246879986
0.005491547,-0.02501034,,0.005491547,0.053084748
0.005522797,-0.024792453,,0.005522797,-0.142750507
0.005554047,-0.023972775,,0.005554047,-0.33309994
0.005585297,-0.022581711,,0.005585297,-0.51064853
0.005616547,-0.020671628,,0.005616547,-0.668573183
0.005647797,-0.01831484,,0.005647797,-0.800804943
0.005679047,-0.015600833,,0.005679047,-0.902262219
0.005710297,-0.012632823,,0.005710297,-0.969046063
0.005741547,-0.00952379,,0.005741547,-0.998590011
0.005772797,-0.006392139,,0.005772797,-0.989758704
0.005804047,-0.003357146,,0.005804047,-0.942891526
0.005835297,-0.000534376,,0.005835297,-0.859789555
0.005866547,0.00196876,,0.005866547,-0.743646354
0.005897797,0.004057126,,0.005897797,-0.59892524
0.005929047,0.005651529,,0.005929047,-0.431187765
0.005960297,0.006691748,,0.005960297,-0.246879986
0.005991547,0.007138863,,0.005991547,-0.053084748
0.006022797,0.006976737,,0.006022797,0.142750507
0.006054047,0.006212647,,0.006054047,0.33309994
0.006085297,0.004876997,,0.006085297,0.51064853
0.006116547,0.003022155,,0.006116547,0.668573183
0.006147797,0.000720436,,0.006147797,0.800804943
0.006179047,-0.001938674,,0.006179047,0.902262219
0.006210297,-0.004851958,,0.006210297,0.969046063
0.006241547,-0.007906436,,0.006241547,0.998590011
0.006272797,-0.010983702,,0.006272797,0.989758704
0.006304047,-0.01396448,,0.006304047,0.942891526
0.006335297,-0.016733205,,0.006335297,0.859789555
0.006366547,-0.019182463,,0.006366547,0.743646354
0.006397797,-0.021217121,,0.006397797,0.59892524
0.006429047,-0.022757981,,0.006429047,0.431187765
0.006460297,-0.023744826,,0.006460297,0.246879986
0.006491547,-0.024138733,,0.006491547,0.053084748
0.006522797,-0.023923565,,0.006522797,-0.142750507
0.006554047,-0.023106598,,0.006554047,-0.33309994
0.006585297,-0.021718238,,0.006585297,-0.51064853
0.006616547,-0.019810848,,0.006616547,-0.668573183
0.006647797,-0.017456746,,0.006647797,-0.800804943
0.006679047,-0.014745417,,0.006679047,-0.902262219
0.006710297,-0.011780075,,0.006710297,-0.969046063
0.006741547,-0.008673704,,0.006741547,-0.998590011
0.006772797,-0.005544705,,0.006772797,-0.989758704
0.006804047,-0.002512356,,0.006804047,-0.942891526
0.006835297,0.000307779,,0.006835297,-0.859789555
0.006866547,0.002808286,,0.006866547,-0.743646354
0.006897797,0.004894034,,0.006897797,-0.59892524
0.006929047,0.006485825,,0.006929047,-0.431187765
0.006960297,0.007523441,,0.006960297,-0.246879986
0.006991547,0.007967961,,0.006991547,-0.053084748
0.007022797,0.007803248,,0.007022797,0.142750507
0.007054047,0.007036579,,0.007054047,0.33309994
0.007085297,0.005698359,,0.007085297,0.51064853
0.007116547,0.003840954,,0.007116547,0.668573183
0.007147797,0.00153668,,0.007147797,0.800804943
0.007179047,-0.001124977,,0.007179047,0.902262219
0.007210297,-0.0040408,,0.007210297,0.969046063
0.007241547,-0.007097808,,0.007241547,0.998590011
0.007272797,-0.010177598,,0.007272797,0.989758704
0.007304047,-0.013160891,,0.007304047,0.942891526
0.007335297,-0.015932123,,0.007335297,0.859789555
0.007366547,-0.01838388,,0.007366547,0.743646354
0.007397797,-0.02042103,,0.007397797,0.59892524
0.007429047,-0.021964374,,0.007429047,0.431187765
0.007460297,-0.022953696,,0.007460297,0.246879986
0.007491547,-0.02335007,,0.007491547,0.053084748
0.007522797,-0.023137364,,0.007522797,-0.142750507
0.007554047,-0.02232285,,0.007554047,-0.33309994
0.007585297,-0.020936934,,0.007585297,-0.51064853
0.007616547,-0.019031983,,0.007616547,-0.668573183
0.007647797,-0.016680311,,0.007647797,-0.800804943
0.007679047,-0.013971404,,0.007679047,-0.902262219
0.007710297,-0.011008478,,0.007710297,-0.969046063
0.007741547,-0.007904514,,0.007741547,-0.998590011
0.007772797,-0.004777915,,0.007772797,-0.989758704
0.007804047,-0.001747958,,0.007804047,-0.942891526
0.007835297,0.001069791,,0.007835297,-0.859789555
0.007866547,0.003567921,,0.007866547,-0.743646354
0.007897797,0.005651299,,0.007897797,-0.59892524
0.007929047,0.007240727,,0.007929047,-0.431187765
0.007960297,0.008275988,,0.007960297,-0.246879986
0.007991547,0.008718159,,0.007991547,-0.053084748
0.008022797,0.008551106,,0.008022797,0.142750507
0.008054047,0.007782103,,0.008054047,0.33309994
0.008085297,0.006441557,,0.008085297,0.51064853
0.008116547,0.004581833,,0.008116547,0.668573183
0.008147797,0.002275248,,0.008147797,0.800804943
0.008179047,-0.000388713,,0.008179047,0.902262219
0.008210297,-0.003306834,,0.008210297,0.969046063
0.008241547,-0.006366133,,0.008241547,0.998590011
0.008272797,-0.009448205,,0.008272797,0.989758704
0.008304047,-0.012433774,,0.008304047,0.942891526
0.008335297,-0.015207275,,0.008335297,0.859789555
0.008366547,-0.017661294,,0.008366547,0.743646354
0.008397797,-0.019700698,,0.008397797,0.59892524
0.008429047,-0.02124629,,0.008429047,0.431187765
0.008460297,-0.022237852,,0.008460297,0.246879986
0.008491547,-0.02263646,,0.008491547,0.053084748
0.008522797,-0.022425979,,0.008522797,-0.142750507
0.008554047,-0.021613686,,0.008554047,-0.33309994
0.008585297,-0.020229983,,0.008585297,-0.51064853
0.008616547,-0.018327237,,0.008616547,-0.668573183
0.008647797,-0.015977764,,0.008647797,-0.800804943
0.008679047,-0.013271049,,0.008679047,-0.902262219
0.008710297,-0.010310308,,0.008710297,-0.969046063
0.008741547,-0.007208522,,0.008741547,-0.998590011
0.008772797,-0.004084095,,0.008772797,-0.989758704
0.008804047,-0.001056303,,0.008804047,-0.942891526
0.008835297,0.001759288,,0.008835297,-0.859789555
0.008866547,0.004255267,,0.008866547,-0.743646354
0.008897797,0.0063365,,0.008897797,-0.59892524
0.008929047,0.00792379,,0.008929047,-0.431187765
0.008960297,0.00895692,,0.008960297,-0.246879986
0.008991547,0.009396966,,0.008991547,-0.053084748
0.009022797,0.009227795,,0.009022797,0.142750507
0.009054047,0.008456681,,0.009054047,0.33309994
0.009085297,0.00711403,,0.009085297,0.51064853
0.009116547,0.005252208,,0.009116547,0.668573183
0.009147797,0.002943531,,0.009147797,0.800804943
0.009179047,0.000277485,,0.009179047,0.902262219
0.009210297,-0.002642715,,0.009210297,0.969046063
0.009241547,-0.005704085,,0.009241547,0.998590011
0.009272797,-0.008788223,,0.009272797,0.989758704
0.009304047,-0.011775852,,0.009304047,0.942891526
0.009335297,-0.014551405,,0.009335297,0.859789555
0.009366547,-0.01700747,,0.009366547,0.743646354
0.009397797,-0.019048914,,0.009397797,0.59892524
0.009429047,-0.02059654,,0.009429047,0.431187765
0.009460297,-0.021590129,,0.009460297,0.246879986
0.009491547,-0.021990759,,0.009491547,0.053084748
0.009522797,-0.021782293,,0.009522797,-0.142750507
0.009554047,-0.020972007,,0.009554047,-0.33309994
0.009585297,-0.019590307,,0.009585297,-0.51064853
0.009616547,-0.017689557,,0.009616547,-0.668573183
0.009647797,-0.015342074,,0.009647797,-0.800804943
0.009679047,-0.012637342,,0.009679047,-0.902262219
0.009710297,-0.009678578,,0.009710297,-0.969046063
0.009741547,-0.006578763,,0.009741547,-0.998590011
0.009772797,-0.003456301,,0.009772797,-0.989758704
0.009804047,-0.000430468,,0.009804047,-0.942891526
0.009835297,0.002383171,,0.009835297,-0.859789555
0.009866547,0.004877203,,0.009866547,-0.743646354
0.009897797,0.006956495,,0.009897797,-0.59892524
0.009929047,0.00854185,,0.009929047,-0.431187765
0.009960297,0.009573052,,0.009960297,-0.246879986
0.009991547,0.010011176,,0.009991547,-0.053084748
0.010022797,0.009840089,,0.010022797,0.142750507
0.010054047,0.009067064,,0.010054047,0.33309994
0.010085297,0.007722509,,0.010085297,0.51064853
0.010116547,0.005858788,,0.010116547,0.668573183
0.010147797,0.003548219,,0.010147797,0.800804943
0.010179047,0.000880285,,0.010179047,0.902262219
0.010210297,-0.002041795,,0.010210297,0.969046063
0.010241547,-0.00510504,,0.010241547,0.998590011
0.010272797,-0.008191047,,0.010272797,0.989758704
0.010304047,-0.011180539,,0.010304047,0.942891526
0.010335297,-0.01395795,,0.010335297,0.859789555
0.010366547,-0.016415867,,0.010366547,0.743646354
0.010397797,-0.018459157,,0.010397797,0.59892524
0.010429047,-0.020008623,,0.010429047,0.431187765
0.010460297,-0.021004046,,0.010460297,0.246879986
0.010491547,-0.021406504,,0.010491547,0.053084748
0.010522797,-0.021199862,,0.010522797,-0.142750507
0.010554047,-0.020391393,,0.010554047,-0.33309994
0.010585297,-0.019011504,,0.010585297,-0.51064853
0.010616547,-0.01711256,,0.010616547,-0.668573183
0.010647797,-0.014766877,,0.010647797,-0.800804943
0.010679047,-0.01206394,,0.010679047,-0.902262219
0.010710297,-0.009106966,,0.010710297,-0.969046063
0.010741547,-0.006008934,,0.010741547,-0.998590011
0.010772797,-0.00288825,,0.010772797,-0.989758704
0.010804047,0.00013581,,0.010804047,-0.942891526
0.010835297,0.002947683,,0.010835297,-0.859789555
0.010866547,0.005439953,,0.010866547,-0.743646354
0.010897797,0.007517489,,0.010897797,-0.59892524
0.010929047,0.009101095,,0.010929047,-0.431187765
0.010960297,0.010130551,,0.010960297,-0.246879986
0.010991547,0.010566936,,0.010991547,-0.053084748
0.011022797,0.010394114,,0.011022797,0.142750507
0.011054047,0.009619362,,0.011054047,0.33309994
0.011085297,0.008273083,,0.011085297,0.51064853
0.011116547,0.006407644,,0.011116547,0.668573183
0.011147797,0.004095362,,0.011147797,0.800804943
0.011179047,0.001425722,,0.011179047,0.902262219
0.011210297,-0.00149806,,0.011210297,0.969046063
0.011241547,-0.004563002,,0.011241547,0.998590011
0.011272797,-0.007650701,,0.011272797,0.989758704
0.011304047,-0.010641878,,0.011304047,0.942891526
0.011335297,-0.01342097,,0.011335297,0.859789555
0.011366547,-0.015880562,,0.011366547,0.743646354
0.011397797,-0.017925523,,0.011397797,0.59892524
0.011429047,-0.019476653,,0.011429047,0.431187765
0.011460297,-0.020473737,,0.011460297,0.246879986
0.011491547,-0.020877849,,0.011491547,0.053084748
0.011522797,-0.020672856,,0.011522797,-0.142750507
0.011554047,-0.019866032,,0.011554047,-0.33309994
0.011585297,-0.018487782,,0.011585297,-0.51064853
0.011616547,-0.016590473,,0.011616547,-0.668573183
0.011647797,-0.014246419,,0.011647797,-0.800804943
0.011679047,-0.011545105,,0.011679047,-0.902262219
0.011710297,-0.00858975,,0.011710297,-0.969046063
0.011741547,-0.005493332,,0.011741547,-0.998590011
0.011772797,-0.002374257,,0.011772797,-0.989758704
0.011804047,0.0006482,,0.011804047,-0.942891526
0.011835297,0.003458474,,0.011835297,-0.859789555
0.011866547,0.00594915,,0.011866547,-0.743646354
0.011897797,0.008025098,,0.011897797,-0.59892524
0.011929047,0.009607119,,0.011929047,-0.431187765
0.011960297,0.010634997,,0.011960297,-0.246879986
0.011991547,0.011069808,,0.011991547,-0.053084748
0.012022797,0.010895417,,0.012022797,0.142750507
0.012054047,0.0101191,,0.012054047,0.33309994
0.012085297,0.008771262,,0.012085297,0.51064853
0.012116547,0.006904269,,0.012116547,0.668573183
0.012147797,0.004590438,,0.012147797,0.800804943
0.012179047,0.001919253,,0.012179047,0.902262219
0.012210297,-0.001006069,,0.012210297,0.969046063
0.012241547,-0.004072546,,0.012241547,0.998590011
0.012272797,-0.007161775,,0.012272797,0.989758704
0.012304047,-0.010154478,,0.012304047,0.942891526
0.012335297,-0.012935091,,0.012335297,0.859789555
0.012366547,-0.015396199,,0.012366547,0.743646354
0.012397797,-0.01744267,,0.012397797,0.59892524
0.012429047,-0.018995308,,0.012429047,0.431187765
0.012460297,-0.019993893,,0.012460297,0.246879986
0.012491547,-0.020399503,,0.012491547,0.053084748
0.012522797,-0.020196002,,0.012522797,-0.142750507
0.012554047,-0.019390666,,0.012554047,-0.33309994
0.012585297,-0.018013899,,0.012585297,-0.51064853
0.012616547,-0.016118068,,0.012616547,-0.668573183
0.012647797,-0.013775488,,0.012647797,-0.800804943
0.012679047,-0.011075644,,0.012679047,-0.902262219
0.012710297,-0.008121753,,0.012710297,-0.969046063
0.012741547,-0.005026796,,0.012741547,-0.998590011
0.012772797,-0.001909176,,0.012772797,-0.989758704
0.012804047,0.001111829,,0.012804047,-0.942891526
0.012835297,0.003920656,,0.012835297,-0.859789555
0.012866547,0.006409891,,0.012866547,-0.743646354
0.012897797,0.008484401,,0.012897797,-0.59892524
0.012929047,0.010064989,,0.012929047,-0.431187765
0.012960297,0.011091439,,0.012960297,-0.246879986
0.012991547,0.011524825,,0.012991547,-0.053084748
0.013022797,0.011349015,,0.013022797,0.142750507
0.013054047,0.010571282,,0.013054047,0.33309994
