X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(3),Phase: PR1: V(3)
1,0.006283153574382949,-90.00000239673875
1.2589254117941673,0.007910021701289642,-90.00000301731531
1.5848931924611136,0.009958127328182657,-90.00000379857492
1.99526231496888,0.012536539548499927,-90.0000047821225
2.5118864315095806,0.015782568215901235,-90.00000602033553
3.16227766016838,0.019869076195026147,-90.00000757915339
3.9810717055349736,0.025013684940077243,-90.00000954158881
5.011872336272725,0.03149036363220085,-90.00001201214863
6.309573444801935,0.039644019040177815,-90.00001512239915
7.9432823472428185,0.049908863069079164,-90.00001903797262
10.000000000000005,0.06283153613856485,-90.00002396738756
12.58925411794168,0.07910021780049696,-90.00003017315338
15.848931924611145,0.09958127485329628,-90.00003798574974
19.95262314968881,0.12536539862049345,-90.00004782122609
25.118864315095824,0.15782568841514583,-90.00006020335763
31.622776601683825,0.1986907744328891,-90.00007579153858
39.81071705534977,0.25013687430688963,-90.00009541589745
50.11872336272729,0.3149036860162484,-90.00012012150502
63.0957344480194,0.3964402895548316,-90.00015122402922
79.43282347242825,0.49908882852717235,-90.00019037980134
100.00000000000014,0.6283157561212159,-90.00023967402579
125.89254117941691,0.7910029656062665,-90.00030173183332
158.4893192461116,0.9958143200050824,-90.00037985809546
199.52623149688827,1.2536571217069863,-90.00047821345402
251.18864315095843,1.5782631403098761,-90.00060203595697
316.2277660168385,1.9869202270355433,-90.00075792013583
398.10717055349795,2.5013936494364364,-90.00095416845222
501.1872336272732,3.1490865551942955,-90.00120123396125
630.9573444801945,3.964502051106231,-90.00151227802532
794.3282347242831,4.991086129572452,-90.00190387330183
1000.000000000002,6.283552321827247,-90.00239689048176
1258.9254117941698,7.910817336571305,-90.00301761808076
1584.8931924611168,9.959714922676726,-90.0037991790649
1995.2623149688839,12.539707511367393,-90.00478332803993
2511.8864315095857,15.788890067194322,-90.00602274127066
3162.2776601683863,19.881692902533725,-90.0075839546007
3981.0717055349814,25.038867934025358,-90.0095511720468
5011.872336272734,31.540639915952354,-90.01203128097754
6309.5734448019475,39.744427176264935,-90.01516060892263
7943.2823472428345,50.10950085732751,-90.01911432423137
10000.000000000025,63.23280465565203,-90.02412008812802
12589.254117941706,79.903855601873,-90.03047897340603
15848.931924611177,101.19432830789806,-90.03859958859854
19952.62314968885,128.61464740495992,-90.04905771042307
25118.86431509587,164.4085835004193,-90.06270844370812
31622.776601683883,212.15381474438186,-90.08091482899165
39810.71705534984,278.1076843197015,-90.10606004933645
50118.72336272738,374.61829605285385,-90.14284561992791
63095.734448019524,530.4495695459414,-90.20222072001421
79432.82347242841,832.3629757654687,-90.3172065082848
100000.00000000033,1719.4085392741995,-90.65489580457144
125892.54117941715,101357.30234782162,-227.68717252851923
158489.3192461119,1676.2371348821264,-269.36301484415475
199526.23149688868,821.3114764156412,-269.688597441965
251188.64315095893,525.373830382588,-269.80151154509036
316227.76601683913,371.66236100391416,-269.8603782544131
398107.1705534988,276.1586023069825,-269.8971907460222
501187.2336272742,210.77309817661504,-269.92266337008044
630957.3444801958,163.3872602497656,-269.9414392538688
794328.2347242847,127.83876929115165,-269.9559030305785
1000000.0000000041,100.59505063494062,-269.9674488483912
1258925.4117941724,79.43614922451857,-269.9769842518965
1584893.19246112,62.86539432405779,-269.9851577928101
1995262.314968888,49.819691923892066,-269.9924734839138
2511886.4315095907,39.515237723066754,-269.99935480868805
3162277.660168393,31.35909476680432,-270.0061850379032
3981071.70553499,24.894915148474904,-270.0133362793717
5011872.336272745,19.767474617336244,-270.0211935420775
6309573.444801961,15.698227778278747,-270.0301773427559
7943282.347242852,12.46772508538589,-270.0407671459674
10000000.000000047,9.902554976955233,-270.05352741867677
12589254.117941732,7.865423844991954,-270.0691379498889
15848931.92461121,6.24750187773411,-270.08843018023583
19952623.149688892,4.962455889937116,-270.11243154033593
25118864.315095924,3.9417658351505933,-270.14242018957725
31622776.60168395,3.131032816705603,-270.17999308249716
39810717.05534992,2.4870605802082046,-270.22715098742344
50118723.36272748,1.9755443479942016,-270.2864049725173
63095734.448019646,1.5692385487020148,-270.36090999913296
79432823.47242856,1.2465031770488963,-270.45463267221714
100000000.00000052,0.9901500243578918,-270.57256195065565
125892541.17941739,0.786526661982939,-270.7209737777746
158489319.2461122,0.6247890579022463,-270.9077632038985
199526231.49688905,0.4963239209650479,-271.142860649604
251188643.1509594,0.39428992536961005,-271.43875240867055
316227766.0168397,0.3132533410295446,-271.81112899106995
398107170.55349946,0.24889864393184596,-272.27968764375674
501187233.6272751,0.1977986836753483,-272.86911553675884
630957344.4801968,0.15723216131823747,-273.61027383132756
794328234.7242861,0.1250386907517442,-274.54158243617474
1000000000.0000058,0.09950371566202912,-275.7105557436345
1258925411.7941747,0.07926713715414693,-277.1753333232309
1584893192.461123,0.06325075596491722,-279.0058386409454
1995262314.9688916,0.05060060992010745,-281.28381086409945
2511886431.5095954,0.04064103828758086,-284.1003093007986
3162277660.168399,0.03283786777022457,-287.54838952268966
3981071705.5349975,0.0267685363185381,-291.7078476666158
5011872336.272755,0.02209734040674156,-296.6194377406906
6309573444.801973,0.018554482345761604,-302.250172896177
7943282347.2428665,0.015918418359111692,-308.4611046041407
10000000000.000065,0.01400211413095537,-314.9999976646482
